"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","04.12.2021 10:00 - 04.12.2021 11:00 (CET)","N/A","1184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","182","","136","732","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","04.12.2021 11:00 - 04.12.2021 12:00 (CET)","N/A","1187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","142","","132","720","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.12.2021 12:00 - 04.12.2021 13:00 (CET)","N/A","1166","N/A","N/A","N/A","N/A","N/A","N/A","N/A","143","","135","684","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","04.12.2021 13:00 - 04.12.2021 14:00 (CET)","N/A","1156","N/A","N/A","N/A","N/A","N/A","N/A","N/A","191","","140","694","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","04.12.2021 14:00 - 04.12.2021 15:00 (CET)","N/A","1168","N/A","N/A","N/A","N/A","N/A","N/A","N/A","220","","141","736","N/A","N/A","N/A","N/A","n/e","N/A","n/e","4"
"Bosnia and Herz. (BA)","04.12.2021 15:00 - 04.12.2021 16:00 (CET)","N/A","1173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","141","746","N/A","N/A","N/A","N/A","n/e","N/A","n/e","6"
"Bosnia and Herz. (BA)","04.12.2021 16:00 - 04.12.2021 17:00 (CET)","N/A","1184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","141","769","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","04.12.2021 17:00 - 04.12.2021 18:00 (CET)","N/A","1199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","140","807","N/A","N/A","N/A","N/A","n/e","N/A","n/e","11"
"Bosnia and Herz. (BA)","04.12.2021 18:00 - 04.12.2021 19:00 (CET)","N/A","1164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","218","","140","819","N/A","N/A","N/A","N/A","n/e","N/A","n/e","14"
"Bosnia and Herz. (BA)","04.12.2021 19:00 - 04.12.2021 20:00 (CET)","N/A","1152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","218","","142","823","N/A","N/A","N/A","N/A","n/e","N/A","n/e","16"
