YEAR;MO;DY;HR;T2M
2018;1;23;18;-1.88
2018;1;23;19;-2.27
2018;1;23;20;-2.48
2018;1;23;21;-2.62
2018;1;23;22;-2.77
2018;1;23;23;-2.95
2018;1;24;0;-3.25
2018;1;24;1;-3.43
2018;1;24;2;-3.44
2018;1;24;3;-3.43
2018;1;24;4;-3.47
2018;1;24;5;-3.52
2018;1;24;6;-3.45
2018;1;24;7;-3.03
2018;1;24;8;-1.49
2018;1;24;9;0.09
2018;1;24;10;1.54
2018;1;24;11;2.48
2018;1;24;12;2.94
2018;1;24;13;3.01
2018;1;24;14;2.56
2018;1;24;15;1.08
2018;1;24;16;-0.91
2018;1;24;17;-1.15
2018;1;24;18;-1.38
2018;1;24;19;-1.98
2018;1;24;20;-2.63
2018;1;24;21;-3.15
2018;1;24;22;-3.25
2018;1;24;23;-3.25
2018;1;25;0;-3.26
2018;1;25;1;-3.2
2018;1;25;2;-3.17
2018;1;25;3;-3.1
2018;1;25;4;-3.01
2018;1;25;5;-2.92
2018;1;25;6;-2.87
2018;1;25;7;-2.11
2018;1;25;8;0.48
2018;1;25;9;2.53
2018;1;25;10;4.87
2018;1;25;11;6.51
2018;1;25;12;7.3
2018;1;25;13;7.28
2018;1;25;14;6.4
2018;1;25;15;3.36
2018;1;25;16;-0.4
2018;1;25;17;-1.31
2018;1;25;18;-0.95
2018;1;25;19;-0.63
2018;1;25;20;-0.72
2018;1;25;21;-1.17
2018;1;25;22;-1.38
2018;1;25;23;-1.32
2018;1;26;0;-1
2018;1;26;1;-0.5
2018;1;26;2;-0.69
2018;1;26;3;-1.06
2018;1;26;4;-1.2
2018;1;26;5;-1.63
2018;1;26;6;-1.92
2018;1;26;7;-1.72
2018;1;26;8;0.01
2018;1;26;9;2.48
2018;1;26;10;5.03
2018;1;26;11;7.01
2018;1;26;12;8.26
2018;1;26;13;8.42
2018;1;26;14;7.58
2018;1;26;15;4.89
2018;1;26;16;2.16
2018;1;26;17;0.19
2018;1;26;18;-1.22
2018;1;26;19;-1.33
2018;1;26;20;-1.19
2018;1;26;21;-1.3
2018;1;26;22;-0.89
2018;1;26;23;-0.64
2018;1;27;0;-0.84
2018;1;27;1;-1.8
2018;1;27;2;-1.94
2018;1;27;3;-1.89
2018;1;27;4;-1.83
2018;1;27;5;-1.19
2018;1;27;6;-0.52
2018;1;27;7;0.48
2018;1;27;8;2.68
2018;1;27;9;4.65
2018;1;27;10;6.78
2018;1;27;11;8.6
2018;1;27;12;9.24
2018;1;27;13;9.03
2018;1;27;14;7.96
2018;1;27;15;5.64
2018;1;27;16;3.7
2018;1;27;17;2.62
2018;1;27;18;1.82
2018;1;27;19;1.19
2018;1;27;20;1.23
2018;1;27;21;1.37
2018;1;27;22;1.44
2018;1;27;23;1.37
2018;1;28;0;0.85
2018;1;28;1;0.23
2018;1;28;2;-0.02
2018;1;28;3;0.02
2018;1;28;4;0.21
2018;1;28;5;0.43
2018;1;28;6;0.45
2018;1;28;7;0.58
2018;1;28;8;1.38
2018;1;28;9;2.17
2018;1;28;10;3.64
2018;1;28;11;5.68
2018;1;28;12;7.06
2018;1;28;13;7.58
2018;1;28;14;7.33
2018;1;28;15;5.94
2018;1;28;16;3.52
2018;1;28;17;2.44
2018;1;28;18;2.05
2018;1;28;19;1.24
2018;1;28;20;0.28
2018;1;28;21;0
2018;1;28;22;0.24
2018;1;28;23;0.64
2018;1;29;0;0.92
2018;1;29;1;1.11
2018;1;29;2;1.44
2018;1;29;3;2.02
2018;1;29;4;2.37
2018;1;29;5;2.33
2018;1;29;6;2.18
2018;1;29;7;2.61
2018;1;29;8;5.16
2018;1;29;9;7.4
2018;1;29;10;9.79
2018;1;29;11;11.51
2018;1;29;12;12.15
2018;1;29;13;12.13
2018;1;29;14;11.45
2018;1;29;15;10.41
2018;1;29;16;7.46
2018;1;29;17;4.36
2018;1;29;18;2.43
2018;1;29;19;1.75
2018;1;29;20;1.58
2018;1;29;21;1.83
2018;1;29;22;2.26
2018;1;29;23;2.27
2018;1;30;0;2.33
2018;1;30;1;2.23
2018;1;30;2;1.97
2018;1;30;3;1.61
2018;1;30;4;0.57
2018;1;30;5;-0.37
2018;1;30;6;-0.03
2018;1;30;7;1.94
2018;1;30;8;4.9
2018;1;30;9;7.33
2018;1;30;10;8.99
2018;1;30;11;9.65
2018;1;30;12;9.87
2018;1;30;13;9.69
2018;1;30;14;9.01
2018;1;30;15;7.03
2018;1;30;16;3.29
2018;1;30;17;1.26
2018;1;30;18;0.53
2018;1;30;19;0.13
2018;1;30;20;-0.34
2018;1;30;21;-0.78
2018;1;30;22;-1.16
2018;1;30;23;-1.3
2018;1;31;0;-1.49
2018;1;31;1;-1.59
2018;1;31;2;-1.84
2018;1;31;3;-1.92
2018;1;31;4;-1.85
2018;1;31;5;-1.68
2018;1;31;6;-1.6
2018;1;31;7;-0.08
2018;1;31;8;2.89
2018;1;31;9;4.85
2018;1;31;10;6.19
2018;1;31;11;7.13
2018;1;31;12;7.73
2018;1;31;13;7.95
2018;1;31;14;7.73
2018;1;31;15;6.25
2018;1;31;16;2.47
2018;1;31;17;1.25
2018;1;31;18;1.25
2018;1;31;19;0.94
2018;1;31;20;0.52
2018;1;31;21;0.6
2018;1;31;22;1.07
2018;1;31;23;1.23
2018;2;1;0;1.29
2018;2;1;1;1.27
2018;2;1;2;1.45
2018;2;1;3;1.79
2018;2;1;4;2.19
2018;2;1;5;2.17
2018;2;1;6;2.03
2018;2;1;7;2.43
2018;2;1;8;3.62
2018;2;1;9;4.8
2018;2;1;10;5.87
2018;2;1;11;6.75
2018;2;1;12;7.29
2018;2;1;13;7.16
2018;2;1;14;6.44
2018;2;1;15;5.25
2018;2;1;16;4.04
2018;2;1;17;3.28
2018;2;1;18;2.83
2018;2;1;19;2.76
2018;2;1;20;3.3
2018;2;1;21;4.18
